銘柄コード,企業名,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,
8801,三井不動産,,,,三井不動産,三井不動産,三井不動産,三井不動産,,,,,,,,,,
8802,三菱地所,三菱地所,三菱地所,三菱地所,三菱地所,三菱地所,三菱地所,三菱地所,三菱地所,三菱地所,三菱地所,,,,,,,
9020,東日本旅客鉄道,東日本旅客鉄道,東日本旅客鉄道,東日本旅客鉄道,東日本旅客鉄道,東日本旅客鉄道,東日本旅客鉄道,東日本旅客鉄道,東日本旅客鉄道,東日本旅客鉄道,東日本旅客鉄道,,,,,,,
9022,東海旅客鉄道,,,,,,東海旅客鉄道,東海旅客鉄道,東海旅客鉄道,東海旅客鉄道,東海旅客鉄道,東海旅客鉄道,,,,,,
9432,日本電信電話（NTT）,日本電信電話（NTT）,日本電信電話（NTT）,日本電信電話（NTT）,日本電信電話（NTT）,日本電信電話（NTT）,日本電信電話（NTT）,日本電信電話（NTT）,日本電信電話（NTT）,日本電信電話（NTT）,日本電信電話（NTT）,日本電信電話（NTT）,日本電信電話（NTT）,,,,,
9433,KDDI,KDDI,KDDI,KDDI,KDDI,KDDI,KDDI,KDDI,KDDI,KDDI,KDDI,KDDI,KDDI,,,,,
9437,NTTドコモ（2020年12月25日上場廃止）,NTTドコモ,NTTドコモ,NTTドコモ,NTTドコモ,NTTドコモ,NTTドコモ,NTTドコモ,NTTドコモ,NTTドコモ,NTTドコモ,NTTドコモ（2020年12月25日上場廃止）,,,,,,
9501,東京電力,東京電力,,,,,,,,,,,,,,,,
9503,関西電力,関西電力,関西電力,,,,,,,,,,,,,,,
9984,ソフトバンクグループ（旧ソフトバンク）,ソフトバンク,ソフトバンク,ソフトバンク,ソフトバンク,ソフトバンクグループ,ソフトバンクグループ,ソフトバンクグループ,ソフトバンクグループ,ソフトバンクグループ,ソフトバンクグループ,ソフトバンクグループ,ソフトバンクグループ,,,,,
,,,,,,,,,,,,,,,,,,
